Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,36.939999,37.000000,36.349998,36.599998,36.599998,4094700
2019-10-10,36.740002,37.189999,36.209999,36.860001,36.860001,4010000
2019-10-11,36.799999,37.299999,36.349998,37.099998,37.099998,4343100
2019-10-14,37.299999,37.740002,36.349998,36.380001,36.380001,4305500
2019-10-15,36.590000,36.889999,35.740002,35.990002,35.990002,5702900
2019-10-16,35.779999,36.630001,35.779999,36.279999,36.279999,5248600
2019-10-17,36.500000,36.779999,35.759998,35.930000,35.930000,3869300
2019-10-18,36.000000,36.200001,35.099998,36.150002,36.150002,5901300
2019-10-21,36.299999,37.750000,36.299999,37.750000,37.750000,5167800
2019-10-22,37.740002,38.779999,37.430000,37.529999,37.529999,5885400
2019-10-23,37.599998,37.790001,36.549999,36.799999,36.799999,6640800
2019-10-24,36.900002,37.240002,36.360001,37.209999,37.209999,4904300
2019-10-25,37.259998,37.369999,36.230000,36.570000,36.570000,4308400
2019-10-28,36.700001,36.700001,35.509998,35.599998,35.599998,6747800
2019-10-29,35.880001,36.290001,35.610001,35.700001,35.700001,4762100
2019-10-30,35.900002,35.910000,35.150002,35.660000,35.660000,4720900
2019-10-31,35.570000,35.610001,34.910000,35.509998,35.509998,3731400
2019-11-01,35.500000,35.680000,34.849998,35.200001,35.200001,5970100
2019-11-04,35.400002,36.590000,35.040001,36.299999,36.299999,5485800
2019-11-05,36.500000,36.689999,35.799999,36.570000,36.570000,6282600
2019-11-06,36.650002,36.770000,35.349998,35.520000,35.520000,5854000
2019-11-07,35.730000,35.970001,35.220001,35.959999,35.959999,5489200
2019-11-08,35.599998,35.880001,34.150002,34.450001,34.450001,12557500
2019-11-11,34.349998,35.080002,34.070000,34.669998,34.669998,4487100
2019-11-12,34.869999,35.099998,33.119999,33.200001,33.200001,10887800
2019-11-13,33.130001,33.650002,32.709999,32.889999,32.889999,8018800
2019-11-14,32.980000,33.200001,32.529999,32.959999,32.959999,6536600
2019-11-18,33.200001,33.630001,32.900002,33.279999,33.279999,4768000
2019-11-19,33.389999,34.130001,33.299999,33.560001,33.560001,4066200
2019-11-21,33.700001,33.849998,33.099998,33.680000,33.680000,5071700
2019-11-22,33.610001,34.250000,33.310001,34.090000,34.090000,5106200
2019-11-25,34.099998,36.189999,33.910000,36.110001,36.110001,7990500
2019-11-26,36.119999,36.799999,36.119999,36.799999,36.799999,10115500
2019-11-27,36.799999,36.830002,36.009998,36.619999,36.619999,3191400
2019-11-28,36.500000,36.970001,35.500000,36.200001,36.200001,3732000
2019-11-29,36.330002,37.220001,36.150002,36.599998,36.599998,6770100
2019-12-02,36.549999,36.930000,36.240002,36.419998,36.419998,3472300
2019-12-03,36.509998,36.610001,35.669998,35.799999,35.799999,4826900
2019-12-04,35.840000,36.680000,35.790001,36.400002,36.400002,6445600
2019-12-05,36.400002,36.490002,36.230000,36.299999,36.299999,2822500
2019-12-06,36.490002,37.220001,36.349998,36.900002,36.900002,4478800
2019-12-09,36.950001,37.340000,36.560001,36.849998,36.849998,4393300
2019-12-10,36.900002,37.000000,36.439999,36.799999,36.799999,2676200
2019-12-11,36.900002,36.970001,35.810001,35.880001,35.880001,4970600
2019-12-12,36.230000,36.389999,35.509998,35.509998,35.509998,6028500
2019-12-13,35.570000,35.799999,33.919998,33.950001,33.950001,8583700
2019-12-16,34.299999,34.860001,34.160000,34.740002,34.740002,6324800
2019-12-17,34.810001,34.990002,33.209999,33.630001,33.630001,9531900
2019-12-18,33.650002,34.599998,33.380001,34.330002,34.330002,8892200
2019-12-19,34.340000,34.490002,33.799999,34.369999,34.369999,3621200
2019-12-20,34.380001,34.810001,34.220001,34.810001,34.810001,4809200
2019-12-23,34.830002,34.990002,34.310001,34.529999,34.529999,2415400
2019-12-26,34.540001,35.250000,34.500000,35.180000,35.180000,2468600
2019-12-27,35.340000,35.540001,34.869999,35.240002,35.240002,2498100
2019-12-30,35.220001,35.500000,35.070000,35.200001,35.200001,2067400
2020-01-02,35.340000,35.980000,35.160000,35.880001,35.880001,3210200
2020-01-03,35.250000,35.980000,35.119999,35.939999,35.939999,4612100
2020-01-06,35.750000,35.950001,35.200001,35.570000,35.570000,3745800
2020-01-07,35.560001,35.750000,35.009998,35.160000,35.160000,3768300
2020-01-08,35.340000,36.680000,35.009998,36.509998,36.509998,6904200
2020-01-09,36.680000,37.090000,36.610001,36.840000,36.840000,5162500
2020-01-10,36.849998,37.230000,36.180000,36.340000,36.340000,4803800
2020-01-13,36.360001,36.779999,36.349998,36.700001,36.700001,3905500
2020-01-14,36.759998,37.119999,36.060001,36.549999,36.549999,3349500
2020-01-15,36.599998,36.880001,36.099998,36.470001,36.470001,3484500
2020-01-16,36.680000,36.939999,35.459999,35.869999,35.869999,4795000
2020-01-17,36.000000,36.160000,35.529999,35.750000,35.750000,3237200
2020-01-20,35.750000,36.049999,35.549999,36.049999,36.049999,1700300
2020-01-21,35.889999,36.340000,35.259998,35.430000,35.430000,5538400
2020-01-22,35.400002,35.700001,34.279999,35.599998,35.599998,4721800
2020-01-23,35.610001,35.619999,34.450001,34.840000,34.840000,4933600
2020-01-24,34.919998,34.919998,33.619999,33.830002,33.830002,7036300
2020-01-27,33.200001,33.200001,31.510000,31.780001,31.780001,10937300
2020-01-28,32.299999,32.400002,31.320000,31.360001,31.360001,12034600
2020-01-29,31.500000,31.889999,30.580000,31.100000,31.100000,7550800
2020-01-30,30.540001,30.799999,30.030001,30.600000,30.600000,10067800
2020-01-31,30.209999,31.000000,29.950001,30.549999,30.549999,7817500
2020-02-03,30.750000,32.380001,30.750000,31.570000,31.570000,9756300
2020-02-04,32.299999,32.750000,31.940001,32.180000,32.180000,7005400
2020-02-05,32.849998,32.910000,31.780001,32.070000,32.070000,4885400
2020-02-06,32.299999,32.630001,31.850000,31.850000,31.850000,4890100
2020-02-07,31.500000,31.799999,30.889999,31.540001,31.540001,5041700
2020-02-10,31.480000,31.480000,30.570000,30.840000,30.840000,7233400
2020-02-11,31.030001,31.459999,30.700001,30.900000,30.900000,5088500
2020-02-12,31.000000,31.850000,30.959999,31.250000,31.250000,6964300
2020-02-13,30.990000,31.440001,30.719999,31.330000,31.330000,3783000
2020-02-14,31.260000,31.260000,30.680000,30.900000,30.900000,3757600
2020-02-17,31.000000,31.340000,30.799999,31.000000,31.000000,2759000
2020-02-18,31.000000,31.000000,30.240000,30.850000,30.850000,3316000
2020-02-19,30.700001,31.389999,30.540001,31.160000,31.160000,4750800
2020-02-20,31.240000,31.360001,30.420000,30.680000,30.680000,4012300
2020-02-21,30.260000,30.709999,30.139999,30.360001,30.360001,3623600
2020-02-26,null,null,null,null,null,null
2020-02-27,28.020000,28.809999,27.530001,27.530001,27.530001,9493100
2020-02-28,27.250000,27.500000,25.950001,27.040001,27.040001,8956400
2020-03-02,27.049999,28.360001,27.049999,28.200001,28.200001,6765100
2020-03-03,28.490000,28.700001,26.150000,26.150000,26.150000,17432700
2020-03-04,26.730000,26.879999,26.040001,26.660000,26.660000,9734400
